0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:15 +0800] "GET /hotelReservation/css/my.css HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:15 +0800] "GET /hotelReservation/image/user_pic.png HTTP/1.1" 200 44329
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:20 +0800] "GET /hotelReservation/jsp/my_message.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:20 +0800] "GET /hotelReservation/css/my_message.css HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:23 +0800] "GET /hotelReservation/jsp/my.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:24 +0800] "GET /hotelReservation/jsp/my_password.jsp HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:24 +0800] "GET /hotelReservation/js/my_password.js HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:25 +0800] "GET /hotelReservation/jsp/my.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:26 +0800] "GET /hotelReservation/Quit HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:26 +0800] "GET /hotelReservation/css/login.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:26 +0800] "GET /hotelReservation/js/login.js HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:29 +0800] "GET /hotelReservation/jsp/register.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:29 +0800] "GET /hotelReservation/css/register_head.css HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:29 +0800] "GET /hotelReservation/css/register.css HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:29 +0800] "GET /hotelReservation/image/logo.png HTTP/1.1" 200 7846
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:29 +0800] "GET /hotelReservation/image/check1.png HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:29 +0800] "GET /hotelReservation/js/register.js HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:35 +0800] "GET /hotelReservation/image/check4.png HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:37 +0800] "GET /hotelReservation/image/check2.png HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:41 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:43 +0800] "GET /hotelReservation/jsp/forget.jsp HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:43 +0800] "GET /hotelReservation/css/forget_header.css HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:43 +0800] "GET /hotelReservation/css/forget.css HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:43 +0800] "GET /hotelReservation/js/forget.js HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:45 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:47 +0800] "GET /hotelReservation/jsp/register.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:12:15 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:12:21 +0800] "POST /hotelReservation/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:12:21 +0800] "GET /hotelReservation/jsp/main.jsp HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:12:22 +0800] "POST /hotelReservation/Main_Search HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:12:24 +0800] "GET /hotelReservation/jsp/booking.jsp?hotelid=2 HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:12:56 +0800] "GET /hotelReservation/jsp/my.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:12:58 +0800] "GET /hotelReservation/jsp/my_message.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:13:01 +0800] "GET /hotelReservation/jsp/my.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:13:02 +0800] "GET /hotelReservation/jsp/my_password.jsp HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:13:05 +0800] "GET /hotelReservation/Quit HTTP/1.1" 200 1257
